"url","duration","intake","programme_outline","entry_requirements","career_prospect__001","career_prospect__002","career_prospect__003","career_prospect__004","career_prospect__005","career_prospect__006","career_prospect__007","career_prospect__008","career_prospect__009","career_prospect__010","career_prospect__011","career_prospect__012","career_prospect__013","career_prospect__014","career_prospect__015","career_prospect__016","career_prospect__017","career_prospect__018"
"","","","Building By-Laws","","","","","","","","","","","","","","","","","","",""
"","","","Building Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Architectural Practice","","","","","","","","","","","","","","","","","","",""
"","","","Design Project Publication","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Building Information Modelling","","","","","","","","","","","","","","","","","","",""
"","","","LANGUAGE, MATA PELAJARAN PENGAJIAN UMUM (MPU) AND CO-CURRICULAR COURSES:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, English for Architectural Presentation, Falsafah dan Isu Semasa/Philosophy and Contemporary Issues, Penghayatan Etika dan Peradaban/Introduction to Leadership/Bahasa Melayu Komunikasi 2,Bahasa Kebangsaan A/Entrepreneurship,Integrity and Anti-Corruption/Service Learning, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw","3 years","June (KL, PG)","Problem Solving and Programming","","Software Engineers","Software Testers","Software Quality Assurance Engineers","Software Developers","Software Architects","Systems Analysts","Web Developers","Mobile Application Developers","IT Consultants","IT and Project Managers","Programmers","","","","","","",""
"","","","Database Management","","","","","","","","","","","","","","","","","","",""
"","","","Software Engineering","","","","","","","","","","","","","","","","","","",""
"","","","Computer Organisation and Architecture","","","","","","","","","","","","","","","","","","",""
"","","","Systems Analysis and Design","","","","","","","","","","","","","","","","","","",""
"","","","Operating Systems","","","","","","","","","","","","","","","","","","",""
"","","","Object-Oriented Programming","","","","","","","","","","","","","","","","","","",""
"","","","Data Structures and Algorithms","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Computer Networks","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Software Testing","","","","","","","","","","","","","","","","","","",""
"","","","Software Quality and Measurement","","","","","","","","","","","","","","","","","","",""
"","","","Software Requirements Engineering","","","","","","","","","","","","","","","","","","",""
"","","","Software Design and Architecture","","","","","","","","","","","","","","","","","","",""
"","","","Software Engineering Ethics and Professionalism","","","","","","","","","","","","","","","","","","",""
"","","","Software Security and Safety","","","","","","","","","","","","","","","","","","",""
"","","","Software Project Management","","","","","","","","","","","","","","","","","","",""
"","","","Software Maintenance","","","","","","","","","","","","","","","","","","",""
"","","","Collaborative Development","","","","","","","","","","","","","","","","","","",""
"","","","Probability and Statistics","","","","","","","","","","","","","","","","","","",""
"","","","Discrete Mathematics","","","","","","","","","","","","","","","","","","",""
"","","","Project I","","","","","","","","","","","","","","","","","","",""
"","","","Project II","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training (","","","","","","","","","","","","","","","","","","",""
"","","","months)","","","","","","","","","","","","","","","","","","",""
"","","","Electives (Choose 6):","","","","","","","","","","","","","","","","","","",""
"","","","Formal Methods for Software Engineering","","","","","","","","","","","","","","","","","","",""
"","","","Human Computer Interaction","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Internet Security","","","","","","","","","","","","","","","","","","",""
"","","","Web-Based Integrated Systems","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Discrete Mathematics","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Database Management","","","","","","","","","","","","","","","","","","",""
"","","","Mobile Application Development","","","","","","","","","","","","","","","","","","",""
"","","","Data Science","","","","","","","","","","","","","","","","","","",""
"","","","Cloud Computing","","","","","","","","","","","","","","","","","","",""
"","","","Agile Software Development","","","","","","","","","","","","","","","","","","",""
"","","","Blockchain Application Development","","","","","","","","","","","","","","","","","","",""
"","","","Image Processing","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Falsafah dan Isu Semasa, Academic English, Penghayatan Etika dan Peradaban, English for Career Preparation, Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A,","","","","","","","","","","","","","","","","","","",""
"","","","Integrity and Anti Corruption","","","","","","","","","","","","","","","","","","",""
"","","",", Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours","3 years","January","Structure and Grammar of English I","","English language teachers/lecturers","Writers","Editors","Corporate Communication Executives","Public Relations Executives","","","","","","","","","","","","",""
"","","","Introduction to Linguistics","","","","","","","","","","","","","","","","","","",""
"","","","English Phonetics and Phonology","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to English Literature","","","","","","","","","","","","","","","","","","",""
"","","","Structure and Grammar of English II","","","","","","","","","","","","","","","","","","",""
"","","","Malaysian Literature","","","","","","","","","","","","","","","","","","",""
"","","","Expository Writing","","","","","","","","","","","","","","","","","","",""
"","","","English Morphology and Syntax","","","","","","","","","","","","","","","","","","",""
"","","","Business Communication","","","","","","","","","","","","","","","","","","",""
"","","","Language and Media","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Psycholinguistics","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Sociolinguistics","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Second Language Acquisition","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Discourse Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Translation: Theory and Practice","","","","","","","","","","","","","","","","","","",""
"","","","Critical and Literary Theories","","","","","","","","","","","","","","","","","","",""
"","","","Research Methodology","","","","","","","","","","","","","","","","","","",""
"","","","History of the English Language","","","","","","","","","","","","","","","","","","",""
"","","","Semantics and Pragmatics","","","","","","","","","","","","","","","","","","",""
"","","","Language and Intercultural Communication","","","","","","","","","","","","","","","","","","",""
"","","","World Literature","","","","","","","","","","","","","","","","","","",""
"","","","Technology Enhanced Language Learning","","","","","","","","","","","","","","","","","","",""
"","","","Project I","","","","","","","","","","","","","","","","","","",""
"","","","Project II","","","","","","","","","","","","","","","","","","",""
"","","","English for Specific Purposes","","","","","","","","","","","","","","","","","","",""
"","","","Study Skills or Public Speaking and Presentation Skills","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Audio-Visual Production OR Seminar on English Language Usage OR Renaissance Drama OR 20th Century American Literature","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Writing OR Creative Industries Management","","","","","","","","","","","","","","","","","","",""
"","","","Japanese Language I OR French Language I OR Korean Language I","","","","","","","","","","","","","","","","","","",""
"","","","Japanese Language II OR French Language II OR Korean Language II","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training/Teaching Practicum","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","Falsafah dan Isu Semasa,","","","","","","","","","","","","","","","","","","",""
"","","","Integrity and Anti-Corruption","","","","","","","","","","","","","","","","","","",""
"","","",", Penghayatan Etika dan Peradaban, Bahasa Kebangsaan A/Entrepreneurship, Co-curricular courses","","","","","","","","","","","","","","","","","","",""
"https://fafb.tarc.edu.my/programmes/diploma/logistics-and-supply-chain-management","2 years","June and November","Principles of Accounting","","Graduates of Diploma in Logistics and Supply Chain Management can seek employment in any industries with logistics functions such as:","Transportations","Manufacturing","Engineering","Trading","Retailing at the sub-professional level & etc","","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Quantitative Studies","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Business","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Human Resource Management","","","","","","","","","","","","","","","","","","",""
"","","","IT Fundamentals and Applications","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Supply Chain Management","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Organisational Behaviour","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Operations Management","","","","","","","","","","","","","","","","","","",""
"","","","AI in Warehousing & Inventory Management","","","","","","","","","","","","","","","","","","",""
"","","","Supply Chain Planning & Scheduling","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","IT Applications","","","","","","","","","","","","","","","","","","",""
"","","","Ethics for Business","","","","","","","","","","","","","","","","","","",""
"","","","Distribution Management","","","","","","","","","","","","","","","","","","",""
"","","","Business & Trade Law","","","","","","","","","","","","","","","","","","",""
"","","","Workplace Communication","","","","","","","","","","","","","","","","","","",""
"","","","Purchasing Management","","","","","","","","","","","","","","","","","","",""
"","","","Transportation Management","","","","","","","","","","","","","","","","","","",""
"","","","Logistics Project Management","","","","","","","","","","","","","","","","","","",""
"","","","Digital and Business Transformation","","","","","","","","","","","","","","","","","","",""
"","","","Compulsory Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Penghayatan Etika dan Peradaban, Academic English, Civic Consciousness and Volunteerism/Bahasa Kebangsaan A, Intergrity and Anti-Corruption, Co-curricular.","","","","","","","","","","","","","","","","","","",""
"","","","Progression:","","","","","","","","","","","","","","","","","","",""
"","","","Graduates of Diploma in Logistics and Supply Chain Management can proceed to Year 2 of the TAR UMT Bachelor of Business (Honours) in Logistics and Supply Chain Management programme on credit transfer.","","","","","","","","","","","","","","","","","","",""
"","","","Graduates of this programme can also apply for admission into relevant bachelor degree programmes at TAR UMT or other universities on credit transfer.","","","","","","","","","","","","","","","","","","",""
"","","","for more progression pathways.","","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/bachelor-degree/creative-multimedia","3 years","Year 1:","Introduction to Arts","","Graduates can be employed as:","Interactive Media Artists / Designers","UX & Web Designers","Mobile Application Developers","Social Media Activists / Content Designers","2D / 3D Animators","Motion Designers","Digital Filmmakers / Editors","Post Production Designers / Compositors","Instructional Designers / Game Designers","Educators","Creative Technologies","Creative Entrepreneurs","","","","",""
"","","","Fundamentals of Design","","","","","","","","","","","","","","","","","","",""
"","","","Image Manipulation","","","","","","","","","","","","","","","","","","",""
"","","","Drawing","","","","","","","","","","","","","","","","","","",""
"","","","Design Thinking","","","","","","","","","","","","","","","","","","",""
"","","","Interactive Web Design","","","","","","","","","","","","","","","","","","",""
"","","","Digital Illustration","","","","","","","","","","","","","","","","","","",""
"","","","Basic Photography","","","","","","","","","","","","","","","","","","",""
"","","","2D Animation","","","","","","","","","","","","","","","","","","",""
"","","","Information & Interface Design","","","","","","","","","","","","","","","","","","",""
"","","","Digital Video Production","","","","","","","","","","","","","","","","","","",""
"","","","Photomedia","","","","","","","","","","","","","","","","","","",""
"","","","Web Programming","","","","","","","","","","","","","","","","","","",""
"","","","Painting Techniques OR Applied Photography","","","","","","","","","","","","","","","","","","",""
"","","","Arts Law","","","","","","","","","","","","","","","","","","",""
"","","","Audio Design","","","","","","","","","","","","","","","","","","",""
"","","","Motion Graphics","","","","","","","","","","","","","","","","","","",""
"","","","Content Management","","","","","","","","","","","","","","","","","","",""
"","","","3D Animation","","","","","","","","","","","","","","","","","","",""
"","","","Sculpture OR Editorial Design","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Research Methodology in Arts","","","","","","","","","","","","","","","","","","",""
"","","","Project Management","","","","","","","","","","","","","","","","","","",""
"","","","New Media","","","","","","","","","","","","","","","","","","",""
"","","","Media & Innovation","","","","","","","","","","","","","","","","","","",""
"","","","Digital Media Project","","","","","","","","","","","","","","","","","","",""
"","","","Design & Society","","","","","","","","","","","","","","","","","","",""
"","","","Integrated Marketing Communication","","","","","","","","","","","","","","","","","","",""
