"url","duration","intake","programme_outline","entry_requirements","career_prospect__001","career_prospect__002","career_prospect__003","career_prospect__004","career_prospect__005","career_prospect__006","career_prospect__007","career_prospect__008","career_prospect__009","career_prospect__010","career_prospect__011","career_prospect__012","career_prospect__013","career_prospect__014","career_prospect__015","career_prospect__016","career_prospect__017","career_prospect__018"
"","","","Optics","","","","","","","","","","","","","","","","","","",""
"","","","Circuit Theory","","","","","","","","","","","","","","","","","","",""
"","","","Analogue","","","","","","","","","","","","","","","","","","",""
"","","","Electronics","","","","","","","","","","","","","","","","","","",""
"","","","Electronics Laboratory","","","","","","","","","","","","","","","","","","",""
"","","","Digital Logic Principles","","","","","","","","","","","","","","","","","","",""
"","","","Programming Concepts","","","","","","","","","","","","","","","","","","",""
"","","","High Frequency Circuits","","","","","","","","","","","","","","","","","","",""
"","","","Control Principles for Instrumentation","","","","","","","","","","","","","","","","","","",""
"","","","Instrumentation Laboratory","","","","","","","","","","","","","","","","","","",""
"","","","Scientific Instrumentation","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence","","","","","","","","","","","","","","","","","","",""
"","","","Algebra and Calculus","","","","","","","","","","","","","","","","","","",""
"","","","Mathematics for Science","","","","","","","","","","","","","","","","","","",""
"","","","Public Speaking","","","","","","","","","","","","","","","","","","",""
"","","","Project","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Elective:","","","","","","","","","","","","","","","","","","",""
"","","","Materials Science","","","","","","","","","","","","","","","","","","",""
"","","","Applied Electromagnetism","","","","","","","","","","","","","","","","","","",""
"","","","Mathematics for Science III","","","","","","","","","","","","","","","","","","",""
"","","","Classical Mechanics","","","","","","","","","","","","","","","","","","",""
"","","","Photonics and Laser Physics","","","","","","","","","","","","","","","","","","",""
"","","","Finite Element Method","","","","","","","","","","","","","","","","","","",""
"","","","Physics of Semiconductor Devices","","","","","","","","","","","","","","","","","","",""
"","","","Special Relativity","","","","","","","","","","","","","","","","","","",""
"","","","Internet of Thing","","","","","","","","","","","","","","","","","","",""
"","","","Energy Science","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Falsafah dan Isu Semasa, Academic English, Penghayatan Etika dan Peradaban, English for Career Preparation, Entrepreneurship, Bahasa Kebangsaan A, Integrity and Anti-Corruption, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-science-honours-in-management-mathematics-with-computi-rmm","3 years","Duration:","","Programme Outlin","Officers in financial institutions such as banks, insurance firms, and investment houses","Quantitative Analysts","Quality Managers","Research Officers","Investment Analysts","Financial Analysts","Management Consultants","Financial Planners and Advisors","Pricing Analysts","Market Risk Managers","Credit Risk Managers","Asset/Liability Managers","IT Managers","Programmers","","","",""
"","","","","Algebra","","","","","","","","","","","","","","","","","",""
"","","","","Linear Algebra","","","","","","","","","","","","","","","","","",""
"","","","","Probability and Statistics","","","","","","","","","","","","","","","","","",""
"","","","","Mathematical Statistics","","","","","","","","","","","","","","","","","",""
"","","","","Applied Statistics","","","","","","","","","","","","","","","","","",""
"","","","","Discrete Mathematics","","","","","","","","","","","","","","","","","",""
"","","","","Calculus I","","","","","","","","","","","","","","","","","",""
"","","","","Calculus II","","","","","","","","","","","","","","","","","",""
"","","","","Advanced Calculus","","","","","","","","","","","","","","","","","",""
"","","","","Operations Research I","","","","","","","","","","","","","","","","","",""
"","","","","Operations Research II","","","","","","","","","","","","","","","","","",""
"","","","","Financial Mathematics","","","","","","","","","","","","","","","","","",""
"","","","","Advanced Financial Mathematics","","","","","","","","","","","","","","","","","",""
"","","","","Quality Control","","","","","","","","","","","","","","","","","",""
"","","","","Mathematical and Statistical Software","","","","","","","","","","","","","","","","","",""
"","","","","Numerical Methods","","","","","","","","","","","","","","","","","",""
"","","","","Cryptography","","","","","","","","","","","","","","","","","",""
"","","","","Computer Organisation and Architecture","","","","","","","","","","","","","","","","","",""
"","","","","Database Management","","","","","","","","","","","","","","","","","",""
"","","","","Object-Oriented Programming","","","","","","","","","","","","","","","","","",""
"","","","","Problem Solving and Programming","","","","","","","","","","","","","","","","","",""
"","","","","System Analysis and Design","","","","","","","","","","","","","","","","","",""
"","","","","Artificial Intelligence","","","","","","","","","","","","","","","","","",""
"","","","","Data Science","","","","","","","","","","","","","","","","","",""
"","","","","Data Visualisation","","","","","","","","","","","","","","","","","",""
"","","","","Machine Learning","","","","","","","","","","","","","","","","","",""
"","","","","Industrial Training (10 weeks)","","","","","","","","","","","","","","","","","",""
"","","","","Project","","","","","","","","","","","","","","","","","",""
"","","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","",""
"","","","","English for Tertiary Studies, Falsafah dan Isu Semasa, Academic English, Penghayatan Etika dan Peradaban, English for Career Preparation, Entrepreneurship or Bahasa Kebangsaan A,","","","","","","","","","","","","","","","","","",""
"","","","","Integrity and Anti Corruption","","","","","","","","","","","","","","","","","",""
"","","","",", Co-curricular","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/bachelor-degree/broadcasting","3 years","Campus:","Introduction to Mass Communication","","Graduates can be employed as:","Broadcast News Analyst","Media Planner","Multimedia Artist, Animator, Creative Director","Producer/Director-Stage, Motion Pictures, Television and Radio","Radio & Television Announcer","Reporter & Correspondent, journalist","Web developer or Web Designer","","","","","","","","","",""
"","","","Audio Production","","","","","","","","","","","","","","","","","","",""
"","","","Scripting (Audio)","","","","","","","","","","","","","","","","","","",""
"","","","Scripting (Video)","","","","","","","","","","","","","","","","","","",""
"","","","Video Production","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Film","","","","","","","","","","","","","","","","","","",""
"","","","Cinematography & Visual Communication","","","","","","","","","","","","","","","","","","",""
"","","","Communication Theories","","","","","","","","","","","","","","","","","","",""
"","","","Communication Research Methods","","","","","","","","","","","","","","","","","","",""
"","","","Audio and Video Editing","","","","","","","","","","","","","","","","","","",""
"","","","Production and Multimedia","","","","","","","","","","","","","","","","","","",""
"","","","Rhetoric","","","","","","","","","","","","","","","","","","",""
"","","","Television Production","","","","","","","","","","","","","","","","","","",""
"","","","Statistical Analysis for Communication","","","","","","","","","","","","","","","","","","",""
"","","","Film Appreciation, Criticism & Interpretation","","","","","","","","","","","","","","","","","","",""
"","","","Radio Journalism","","","","","","","","","","","","","","","","","","",""
"","","","Broadcast Communication Research","","","","","","","","","","","","","","","","","","",""
"","","","Camera for Broadcast and Film","","","","","","","","","","","","","","","","","","",""
"","","","Broadcasting Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Communication Technology : Policy & Planning OR Media Audiences OR Web Design and Streaming Media","","","","","","","","","","","","","","","","","","",""
"","","","TV Journalism","","","","","","","","","","","","","","","","","","",""
"","","","Documentary Production OR Media Management","","","","","","","","","","","","","","","","","","",""
"","","","Politics and the Media","","","","","","","","","","","","","","","","","","",""
"","","","Final Year Project: Screen Production OR Final Year Project: Applied Broadcast Project","","","","","","","","","","","","","","","","","","",""
"","","","Malaysia : Religious & Cultural Practices","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A, English for Tertiary Studies, Academic English, English for Career Preparation, Tamadun Islam dan Asia, Contemporary Malaysian Issues, Hubungan Etnik, Critical Thinking, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://foet.tarc.edu.my/programmes/diploma/diploma-in-product-development-technology","2 years 4 months","","Fundamental Mathematics, Mathematics for Technologist","","Assistant Engineers","Technical Associates","Technicians","Sales/Marketing sectors related to Product Development Technology","","","","","","","","","","","","","",""
"","","","Measurement and Workshop Technology","","","","","","","","","","","","","","","","","","",""
"","","","Technical Drawing, Computer-Aided Design and Drafting","","","","","","","","","","","","","","","","","","",""
"","","","Computer Programming","","","","","","","","","","","","","","","","","","",""
"","","","Physics for Technologist","","","","","","","","","","","","","","","","","","",""
"","","","Production Planning and Control","","","","","","","","","","","","","","","","","","",""
"","","","Mechanics of Machines","","","","","","","","","","","","","","","","","","",""
"","","","Welding Technology","","","","","","","","","","","","","","","","","","",""
"","","","Electric Circuits","","","","","","","","","","","","","","","","","","",""
"","","","Materials Science","","","","","","","","","","","","","","","","","","",""
"","","","Solid Modelling and 3D Printing","","","","","","","","","","","","","","","","","","",""
"","","","Ergonomics and Human Factors","","","","","","","","","","","","","","","","","","",""
"","","","Creativity and Innovation","","","","","","","","","","","","","","","","","","",""
"","","","CNC Programming and CAM","","","","","","","","","","","","","","","","","","",""
"","","","Project Management and Finance","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Automation","","","","","","","","","","","","","","","","","","",""
"","","","Manufacturing Technology","","","","","","","","","","","","","","","","","","",""
"","","","Product Development & Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Design for Manufacture & Assembly","","","","","","","","","","","","","","","","","","",""
"","","","Quality and Safety","","","","","","","","","","","","","","","","","","",""
"","","","Final Year Project","","","","","","","","","","","","","","","","","","",""
"","","","Ethics and Professionalism","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU)and Co-Curricular Courses: Integrative English, Progressive English, Pengajian Malaysia 2, Bahasa Kebangsaan A, Public Speaking, Civic Consciousness and Volunteerism, Co-curiccular","","","","","","","","","","","","","","","","","","",""
"","","","Minimum Credits: 93","","","","","","","","","","","","","","","","","","",""
"https://fafb.tarc.edu.my/programmes/bachelors-degree/finance","3 years","June and November","IT Fundamentals and Applications","","Graduates may seek employment in banks and financial institutions in the following areas:","Financial Analysis","Asset Management","Wealth Management","Investment Management","Businsess Analysis","Foreign Exchange","Bonds","Derivatives & etc","","","","","","","","",""
"","","","Financial Mathematics","","","","","","","","","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Investment","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Corporate Finance","","","","","","","","","","","","","","","","","","",""
"","","","Equity Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Alternative Investments","","","","","","","","","","","","","","","","","","",""
"","","","Financial Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Business Organisation & Management","","","","","","","","","","","","","","","","","","",""
"","","","Law of Financial Services & Investments","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Research Methods","","","","","","","","","","","","","","","","","","",""
"","","","International Finance","","","","","","","","","","","","","","","","","","",""
"","","","Portfolio Management","","","","","","","","","","","","","","","","","","",""
"","","","Financial Markets and Institutions","","","","","","","","","","","","","","","","","","",""
"","","","Financial Reporting","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Financial Statement Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Risk Management","","","","","","","","","","","","","","","","","","",""
"","","","Wealth Planning","","","","","","","","","","","","","","","","","","",""
"","","","Fixed Income Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Case Study in Finance","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Ethical & Professional Standards","","","","","","","","","","","","","","","","","","",""
"","","","Artificial Intelligence and Fintech in Financial Service","","","","","","","","","","","","","","","","","","",""
"","","","Electives","","","","","","","","","","","","","","","","","","",""
"","","","Compulsory Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English,  English for Career Preparation, Falsafah dan Isu Semasa, Penghayatan Etika dan Peradaban, Integrity & Anti-Corruption, Service Learning/Bahasa Kebangsaan A and Co-curricular.","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-tourism-management-honours-event-management","3 years","June & November","Introduction to Information Technology","","Tourism, Leisure, and Event and Convention Management","Clubs and Recreation Industry","Travel Industry","Hotels and Resorts Industry","Airlines/Cruise Lines","Convention Centres","MICE Companies","PR and Event Firms","Sales and Marketing Departments","","","","","","","","",""
"","","","Introduction to Tourism Industry","","","","","","","","","","","","","","","","","","",""
"","","","Principles Management of Tourism","","","","","","","","","","","","","","","","","","",""
"","","","Tourism Economics","","","","","","","","","","","","","","","","","","",""
"","","","Tourism Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Services Marketing Management","","","","","","","","","","","","","","","","","","",""
"","","","Japanese Language I","","","","","","","","","","","","","","","","","","",""
"","","","Japanese Language II","","","","","","","","","","","","","","","","","","",""
"","","","Legal Aspects in Hospitality","","","","","","","","","","","","","","","","","","",""
"","","","Human Resource Management for Hospitality Industry","","","","","","","","","","","","","","","","","","",""
"","","","Managing Guest Service","","","","","","","","","","","","","","","","","","",""
"","","","MICE Management","","","","","","","","","","","","","","","","","","",""
"","","","Accounting for Tourism","","","","","","","","","","","","","","","","","","",""
"","","","Travel and Tour Operations","","","","","","","","","","","","","","","","","","",""
"","","","Research Methodology for Tourism","","","","","","","","","","","","","","","","","","",""
"","","","Tourism Organisational Behaviour","","","","","","","","","","","","","","","","","","",""
"","","","Sustainable Tourism","","","","","","","","","","","","","","","","","","",""
"","","","Tourism Crisis Management","","","","","","","","","","","","","","","","","","",""
"","","","Professional Development for Event","","","","","","","","","","","","","","","","","","",""
"","","","Tourism Retail Management","","","","","","","","","","","","","","","","","","",""
"","","","Tourism Event Management","","","","","","","","","","","","","","","","","","",""
"","","","Sport Tourism Event","","","","","","","","","","","","","","","","","","",""
"","","","Event Sponsorship Management","","","","","","","","","","","","","","","","","","",""
"","","","Event Experience and Design","","","","","","","","","","","","","","","","","","",""
"","","","Festival and Special Event Management","","","","","","","","","","","","","","","","","","",""
"","","","Event Safety and Risk Management","","","","","","","","","","","","","","","","","","",""
"","","","Strategic Management","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Hospitality Financial Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Industry Project","","","","","","","","","","","","","","","","","","",""
"","","","Internship","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Bahasa Kebangsaan A, Falsafah dan Isu Semasa, Academic English, Integrity and Anti-Corruption, Penghayatan Etika dan Peradaban, English for Career Preparation, Co-curricular courses.","","","","","","","","","","","","","","","","","","",""
"https://fobe.tarc.edu.my/programmes/postgraduate","","","","","","","","","","","","","","","","","","","","","",""
"https://foas.tarc.edu.my/programmes/bachelor-degree/rsp-sports-coaching-and-performance-analysis",":",":","Human Anatomy and Physiology","","Sport Performance Analyst","Sports Coaches","Sport Coaching Scientists","Strength and Conditioning Coaches","Sport Biomechanist","Fitness Trainers","Personal Trainer","Health and Wellness Specialists","Sports Coaching Development Officers","Physical Educators","Sport Administrators","Sport Entrepreneurs","Research and Development officers","Talent Identification Officers","","","",""
"","","","Sports Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Sports Coaching","","","","","","","","","","","","","","","","","","",""
"","","","Sports Nutrition","","","","","","","","","","","","","","","","","","",""
"","","","Sports Injuries and  Prevention","","","","","","","","","","","","","","","","","","",""
"","","","Basic Biomechanics","","","","","","","","","","","","","","","","","","",""
"","","","Sport Performance Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Sports and Exercise  Psychology","","","","","","","","","","","","","","","","","","",""
"","","","Sport Performance Analysis 2","","","","","","","","","","","","","","","","","","",""
"","","","Exercise Physiology","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Sports Biomechanics","","","","","","","","","","","","","","","","","","",""
"","","","Sports Team and Facility Management","","","","","","","","","","","","","","","","","","",""
"","","","Strength and Conditioning","","","","","","","","","","","","","","","","","","",""
"","","","Testing and Measurement  in Sports & Exercise","","","","","","","","","","","","","","","","","","",""
"","","","Research Methodology in  Sports & Exercise","","","","","","","","","","","","","","","","","","",""
"","","","Research Project I & II","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Behaviour Modification in  Sports & Exercise","","","","","","","","","","","","","","","","","","",""
"","","","Core Elective:","","","","","","","","","","","","","","","","","","",""
"","","","Exercise Programming and Assessment","","","","","","","","","","","","","","","","","","",""
"","","","Application of Performance Analysis I (Team & Individual Sports)","","","","","","","","","","","","","","","","","","",""
"","","","Sports Pedagogy and Training Plan","","","","","","","","","","","","","","","","","","",""
"","","","Application of Performance Analysis II","","","","","","","","","","","","","","","","","","",""
"","","","Sports Coaching for Special Populations","","","","","","","","","","","","","","","","","","",""
"","","","Developing Children and Young Performers in Sports","","","","","","","","","","","","","","","","","","",""
"","","","Contemporary Issues in Sport Performance Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Case Study in Sport Performance","","","","","","","","","","","","","","","","","","",""
"","","","Games Elective:","","","","","","","","","","","","","","","","","","",""
"","","","Games I: Gym Workout and  Swimming","","","","","","","","","","","","","","","","","","",""
"","","","Games II: Tennis and  Gymnastics","","","","","","","","","","","","","","","","","","",""
"","","","Games III: Track & Field","","","","","","","","","","","","","","","","","","",""
"","","","Games IV: Basketball and  Badminton","","","","","","","","","","","","","","","","","","",""
"","","","Games V: Golf and Squash","","","","","","","","","","","","","","","","","","",""
"","","","Games VI: Fencing","","","","","","","","","","","","","","","","","","",""
"","","","Games VII: Advanced  Gymnastics","","","","","","","","","","","","","","","","","","",""
"","","","Games VIII: Soccer and Volleyball","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Falsafah dan Isu Semasa, Academic English, Penghayatan Etika dan Peradaban, English for Career Preparation, Entrepreneurship, Bahasa Kebangsaan A, Integrity and Anti-Corruption, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://focs.tarc.edu.my/programmes/bachelor-degree","","","","","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/bachelor-degree/advertising","3 years","Campus:","Introduction to Mass Communication","","Graduates can be employed as:","Advertising Account Executives","Media Planners","Copywriters","Advertising & Promotion Personnel","Social Media Executives","Digital Marketing Executives","Creative Director","Talent Executives","Multimedia Content Creator","Market & Consumer Analyst","","","","","","",""
"","","","Fundamentals of Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Design Fundamentals","","","","","","","","","","","","","","","","","","",""
"","","","Advertising & Society","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Photography","","","","","","","","","","","","","","","","","","",""
"","","","Media Planning for Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Basic Copywriting","","","","","","","","","","","","","","","","","","",""
"","","","Consumer Behaviour and Culture","","","","","","","","","","","","","","","","","","",""
"","","","Communication Theories","","","","","","","","","","","","","","","","","","",""
"","","","Communication Research Methods","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Copywriting","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Photography","","","","","","","","","","","","","","","","","","",""
"","","","TVC Production","","","","","","","","","","","","","","","","","","",""
"","","","Theories of Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Digital Marketing / Web Design for Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Visual Communication","","","","","","","","","","","","","","","","","","",""
"","","","Statistical Analysis for Communication","","","","","","","","","","","","","","","","","","",""
"","","","Translation and Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Advertising Industrial Attachment","","","","","","","","","","","","","","","","","","",""
"","","","Creative Strategy for Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Codes and Practices of Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Multimedia Production for Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Advertising and New Media / Art Direction for Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Advertising Project I","","","","","","","","","","","","","","","","","","",""
"","","","Advertising Project II","","","","","","","","","","","","","","","","","","",""
"","","","Accounts Management for Advertising / International Advertising","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A, English for Tertiary Studies, Academic English, English for Career Preparation, Tamadun Islam dan Asia, Falsafah dan Isu Semasa, Penghayatan Etika dan Peradaban, Integrity and Anti Corruption, Service Learning, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://foet.tarc.edu.my/programmes/diploma/diploma-of-electronic-engineering","2 years 6 months","","Credit: 93","","Diploma level graduates","will find flexible and wide ranging of career options in the industries of aerospace, telecommunications, & control, computing, consumer and industrial electronics with job scopes that may include product design, development & testing, maintenance, marketing, and sales & services.","Process Techincian","Preventive Maintenance Technician","Test and component Failure Analysis Technician","Quality AssuranceTechnician","Surface Mount Technology Technician","Production Technical Operator","Manufacturing Technician","Service Technician","Field Technician","Optical Fiber Technician","","","","","",""
"","","","Subject List:","","","","","","","","","","","","","","","","","","",""
"","","","C++ PROGRAMMING","","","","","","","","","","","","","","","","","","",""
"","","","ENGINEERING DRAWING & CADD","","","","","","","","","","","","","","","","","","",""
"","","","ENGINEERING TECHNICAL MATHEMATICS","","","","","","","","","","","","","","","","","","",""
"","","","BASIC ELECTRONICS","","","","","","","","","","","","","","","","","","",""
"","","","ELECTRIC CIRCUITS","","","","","","","","","","","","","","","","","","",""
"","","","TRIGONOMETRY AND ALGEBRA","","","","","","","","","","","","","","","","","","",""
"","","","DIGITAL LOGIC PRINCIPLES","","","","","","","","","","","","","","","","","","",""
"","","","MECHANICS","","","","","","","","","","","","","","","","","","",""
"","","","ANALOGUE ELECTRONICS","","","","","","","","","","","","","","","","","","",""
"","","","ENGINEERING PHYSICS","","","","","","","","","","","","","","","","","","",""
"","","","STATISTICS","","","","","","","","","","","","","","","","","","",""
"","","","CALCULUS","","","","","","","","","","","","","","","","","","",""
"","","","MICROPROCESSOR SYSTEMS","","","","","","","","","","","","","","","","","","",""
"","","","PROJECT I","","","","","","","","","","","","","","","","","","",""
"","","","ENGINEERING TECHNOLOGISTS AND THE WORLD","","","","","","","","","","","","","","","","","","",""
"","","","PROJECT MANAGEMENT AND FINANCE","","","","","","","","","","","","","","","","","","",""
"","","","INDUSTRIAL CONTROL AND AUTOMATION","","","","","","","","","","","","","","","","","","",""
"","","","EMBEDDED SYSTEMS","","","","","","","","","","","","","","","","","","",""
"","","","PROJECT II","","","","","","","","","","","","","","","","","","",""
"","","","ELECTRICAL TECHNOLOGY","","","","","","","","","","","","","","","","","","",""
"","","","ELECTRONIC INSTRUMENTATION AND COMMUNICATIONS","","","","","","","","","","","","","","","","","","",""
"","","","INTERNET OF THINGS","","","","","","","","","","","","","","","","","","",""
"","","","OPTICAL FIBER COMMUNICATION AND APPLICATION""","","","","","","","","","","","","","","","","","","",""
"","","","INDUSTRIAL TRAINING","","","","","","","","","","","","","","","","","","",""
"","","","Language, MPU, Cocu","","","","","","","","","","","","","","","","","","",""
"","","","INTEGRATIVE ENGLISH, PROGRESSIVE ENGLISH, BAHASA KEBANGSAAN A, CIVIC CONSCIOUSNESS AND VOLUNTEERISM, INTEGRITY AND ANTI-CORRUPTION, PENGHAYATAN ETIKA DAN PERADABAN, COCURRICULAR ACTIVITIES","","","","","","","","","","","","","","","","","","",""
"https://fafb.tarc.edu.my/programmes/bachelors-degree/entrepreneurship","3 years","June and November","IT Fundamentals and Applications","","Graduates of","Bachelor in Entrepreneurship","(Honour","s)","may seek employment in/ start and manage new business ventures in varied industries.","","","","","","","","","","","","",""
"","","","Business Communication","","","","","","","","","","","","","","","","","","",""
"","","","Quantitative Methods","","","","","","","","","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Organisational Behaviour","","","","","","","","","","","","","","","","","","",""
"","","","Human Resource Management","","","","","","","","","","","","","","","","","","",""
"","","","Operation Management","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Commercial Law","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Franchise Management","","","","","","","","","","","","","","","","","","",""
"","","","Electives","","","","","","","","","","","","","","","","","","",""
"","","","Management Information Systems","","","","","","","","","","","","","","","","","","",""
"","","","Social Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Business Planning","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurial Behaviour & Skills","","","","","","","","","","","","","","","","","","",""
"","","","Strategic Planning & Management","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurial Creativity & Innovation","","","","","","","","","","","","","","","","","","",""
"","","","Business Research","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurial Project","","","","","","","","","","","","","","","","","","",""
"","","","Managing Business Growth","","","","","","","","","","","","","","","","","","",""
"","","","Case Study","","","","","","","","","","","","","","","","","","",""
"","","","Global Entrepreneurs","","","","","","","","","","","","","","","","","","",""
"","","","Family & Small Business Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Technopreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurial Finance","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Compulsory Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English,  English for Career Preparation, Falsafah dan Isu Semasa, Penghayatan Etika dan Peradaban, Integrity & Anti-Corruption, Service Learning/Bahasa Kebangsaan A and Co-curricular.","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-tourism-management-honours","3 years","January, June & November","Introduction to Tourism","","Travel Agencies","Tourist Attractions","Resorts","Hotels","Research and Development","Tourism Marketing","Ecotourism","Other Related Tourism Organisations","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Hospitality Management","","","","","","","","","","","","","","","","","","",""
"","","","Hospitality Economics","","","","","","","","","","","","","","","","","","",""
"","","","Japanese Language I OR French Language I OR Korean Language I","","","","","","","","","","","","","","","","","","",""
"","","","Hospitality Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Strategic Management","","","","","","","","","","","","","","","","","","",""
"","","","Hospitality Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Information Technology","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Legal Aspects in Hospitality Industry","","","","","","","","","","","","","","","","","","",""
"","","","Geography of Tourism","","","","","","","","","","","","","","","","","","",""
"","","","Airline Reservation and Ticketing","","","","","","","","","","","","","","","","","","",""
"","","","HRM for Hospitality Industry","","","","","","","","","","","","","","","","","","",""
"","","","Contemporary Tourism Challenges","","","","","","","","","","","","","","","","","","",""
"","","","Japanese Language II OR French Language II OR Korean Language II","","","","","","","","","","","","","","","","","","",""
"","","","Tourism Issues in South East Asia","","","","","","","","","","","","","","","","","","",""
"","","","Understanding World Culture","","","","","","","","","","","","","","","","","","",""
"","","","Tourism and Hospitality Industry Project","","","","","","","","","","","","","","","","","","",""
