url,programme_outline
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Engineering Ethics and Professionalism
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Security and Safety
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Project Management
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Software Maintenance
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Collaborative Development
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Probability and Statistics
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Discrete Mathematics
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Project I
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Project II
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Industrial Training (
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,months)
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Electives (Choose 6):
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Formal Methods for Software Engineering
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Human Computer Interaction
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Introduction to Internet Security
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Web-Based Integrated Systems
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Advanced Discrete Mathematics
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Advanced Database Management
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Mobile Application Development
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Data Science
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Cloud Computing
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Agile Software Development
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Blockchain Application Development
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Image Processing
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,"Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:"
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,"English for Tertiary Studies, Falsafah dan Isu Semasa, Academic English, Penghayatan Etika dan Peradaban, English for Career Preparation, Entrepreneurship"
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,"Bahasa Kebangsaan A,"
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,Integrity and Anti Corruption
https://focs.tarc.edu.my/programmes/bachelor-degree/bachelor-of-software-engineering-honours-rsw,", Co-curricular"
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Structure and Grammar of English I
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Introduction to Linguistics
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,English Phonetics and Phonology
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Introduction to English Literature
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Structure and Grammar of English II
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Malaysian Literature
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Expository Writing
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,English Morphology and Syntax
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Business Communication
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Language and Media
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Introduction to Psycholinguistics
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Introduction to Sociolinguistics
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Introduction to Second Language Acquisition
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Introduction to Discourse Analysis
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Translation: Theory and Practice
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Critical and Literary Theories
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Research Methodology
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,History of the English Language
https://fssh.tarc.edu.my/programmes/bachelor-degree/bachelor-of-arts-in-english-studies-honours,Semantics and Pragmatics
